game, winner
j10i9j8i8j7j9i6i10i11k8h11m6l7k9l9k10l11k11k12k7, w
j10i9i10k10k9i11l9n9l7j9l6l8h9k12l11j11h11l13h12h10j12f12g11i8h13j8k8j7h14h15i13j14g15f16k11, b
j10i9h10i11h9h12i8g10h11g12i12h7j7k6j8j9k8h8l9m10m8l8k10j11i6h5n7o6k9k11l10i10m11n12i7, b
j10i9i10l10j8j9k10k9l9h9g9n7i12j11h10g10i8j12k8l8h8g8i6j7k11f10j13i7k7k14n4o5e7f8l6m5k4k6l3j5l4l5m4j4o4, b
j10i9h10i11i8j9i10g10k10l10l9h9g9k11n7m8n8m9n9n10m7o9j11m11p8m10m12o10p10o11p12o12o13o8, w
j10i9j9j11j8k10m8i12h13j6h11k8k6h12i10k9k11l7m6g12f12m7n7l9j12j7m10k7i7l8i5l10l11l6, w
j10i9k9h12j8i7m7l8i10l10l7j9o7n7f10h9f9g10f7f8f11h11h10f12g12h13h14i8h7i6i5l9j7l11l12k10m12m8j11o6, w
j10i9h10h9g9g10k9i11i8k11l10m11m10k10j11j12k12n10l11n9l13l12m14n15i10, b
j10i9j8i8i7i10k9h6i11l8l10m11j7j9l7k7h7n10m9n8o9f7n9l9h11j6k11j11m8o10j12i13h12g13k12k10i12g12l12, b
j10i9k9h12j8i7i11i8i6j7m7l8g10k7h7k6l5j6i5k5k4h8g9l4, w
j10i9h10h9j9i10i8j11k12g8f7k10i12h7i6g9i7i4g6h6g10h5h8f9e9h4h3g4j4f4e4e10d11k5h12j12g11f10g13i11g12g14f12e12e11d10f11c11h11, b
j10i9i10g10l10k10j8k9l9l11k12j11j9j7k8h11l7m6l8l6i8h8m8, b
j10i9j9j12h10h12j8j7i12l10g10i10i7k11m9j13k9i13h14j14j15k15l16g11, w
j10i9i10k10j11j9k12h9k9l11m12h10h7h12h11j12g9g11f12k7j8i7l13m14l8m7k14j15o10n11k8i8m8n8j13i12k13m13k15k16k11, b
j10i9h10i10i11k9g9j12h12j9l9k8l7k11k10h14i13l10g13f14i12j11e7f8i14i15g11f10g12g10h13j13j15k16f11, b
j10i9i10h10k7g11f12h12h9f10i13f7j11k12j12j13j9j8l10k11l7k8n7m7k10m10l9m8l8l11l6, b
