,game,winner
0,i10h9j9h11k10g10j7j10f9f11e12i11g11h12k9,1
1,i10h9j9h11k10g10j7j10i12f11e12i11g11h12h10,1
2,i10h9j9h11k10g10j7j10i12f11e12i11g11h12g13,1
3,i10h9j9h11k10g10h10f9e8i12j13g9e9g11g12f11i11,1
4,i10h9j9h11k10g10i8l11g6h7j10l10j8j7j11j12l8k8i11k9,0
5,i10h9j9h11k10g10h10f9i12d7e8g9e9g11g8f11i11,1
6,i10h9j9h11k10g10h7i8j7j10k8k7l7m6i6h5l9m10k9m9k12k11j5k4m8n7,0
7,i10h9j9h11k10g10h7i8f11k6j7j10i12j11i7k7k4k9i11i13j5i6j6j8h10k8k5,1
8,i10h9j9h11k10g10j7j10f9f11e12i11g11h12h10,1
9,i10h9j9h11k10g10h7i8f11f9e8j7k6i12j13g9e9g12g11h12h10,1
10,i10h9j9h11k10g10i8h7l11m12j10l10j8j7j11j12m8l9k11k8,0
11,i10h9j9h11k10g10j7j10i12f11e12i11g11h12h10,1
12,i10h9j9h11k10g10j7j10i8l11h7g6i7i9,0
13,i10h9j9h11k10g10j7j10l11i8k8f11e12g11i11e11d11g8g9h8h10,1
14,i10h9j9h11k10g10j7j10i12f11e12i11g11h12g13,1
15,i10h9j9h11k10g10h7i8j7j10k8k7l7m6i6l9h5g4j5g8l3k4i5k5f5g5k6i4m8n9j4j6h6g7,0
16,i10h9j9h11k10g10h7i8f11h10h12i12f9f10e10g8j7j13k14j8h8g11i9,1
17,i10h9j9h11k10g10h10f9i12d7e8g9e9g11g12f11e11,1
18,i10h9j9h11k10g10j7j10l11i8f11f9i12e8d7g9e9g8g11,1
19,i10h9j9h11k10g10i12h7j10l10j11h13,0
20,i10h9j9h11k10g10j7j10h7i8k8k7l7m6i6h5l9m10k9m9k12k11j5k4m8k6,0
21,i10h9j9h11k10g10i8h7l11m12j10l10j8j11j7j6l8k8i11k9,0
22,i10h9j9h11k10g10h10f9e8i12j13g9e9g11g8f11i8,1
23,i10h9j9h11k10g10h10f9i12d7e8g9e9g11g12f11e11,1
24,i10h9j9h11k10g10h10f9e8i12j13g9e9g11g12f11i11,1
25,i10h9j9h11k10g10h10f9e8i12j13g9e9g11g8f11i8,1
26,i10h9j9h11k10g10i8h7l11m12j10l10j8j7j11j12m8l9k11k8,0
27,i10h9j9h11k10g10i8l11g6h7j10l10j8j7j11j12l8k8i11i9,0
28,i10h9j9h11k10g10i12j7i8h7i9i11m12l11i7i6j10l10j11l9,0
29,i10h9j9h11k10g10i12h7j10l10j11j12,0
30,i10h9j9h11k10g10h10f9e8i12j13g9e9g11g8f11e11,1
31,i10h9j9h11k10g10h10f9e8i12j13g9e9g11g8f11e12,1
32,i10h9j9h11k10g10j7j10i8h7i11i9h8f9i12g9e9g8g7,1
33,i10h9j9h11k10g10i12i8f11j11j10l10i11i13h12g13k9l8k12k11,0
34,i10h9j9h11k10g10i12j11i11i9j7i8j8j6i7l10k7h7l7m7k8m6,0
35,i10h9j9h11k10g10i8l11g6h7j10l10j8j7j11j12l8k8i11k9,0
36,i10h9j9h11k10g10h7i8f11k6j7j10i7k7f9k8k5h10h12j8l8,1
37,i10h9j9h11k10g10h10f9e8i12j13g9e9g11g8f11e12,1
38,i10h9j9h11k10g10h7i8j7j10k8k7l7m6i6l9h5g4j5k4f9g8i5g5i4k6,0
39,i10h9j9h11k10g10h7i8f11i12j13f9e8j7k6g9e9g12g11h12h10,1
