,game,winner
0,i10h9j9h11k10j10h7i8k6f11g10i11g11h12g13,1
1,i10h9j9h11k10j10m12l11k11i8k8k9h12j7g10l8m7k6l5l10l9i7j8h7g7l7k7i6i5j5i4,1
2,i10h9j9h11k10j10l11i8j7h10h12h8h7j8k8i9g7,1
3,i10h9j9h11k10j10i8l11i9i7h7g6l9i12k9m9k8k7l7m6l8j8,0
4,i10h9j9h11k10j10h7i8k8f11g10i11g11h12k9,1
5,i10h9j9h11k10j10i8h7h8i7g8j8k7l11i11e8i9i12l7k8n7m7l9m8l8l6m9k9,0
6,i10h9j9h11k10j10l11i8g10k11h8l12m13i11h10j11g11m12f10e10g9g12,0
7,i10h9j9h11k10j10m12l11k11k14k12k9h12n12i12l8m7l10l9,1
8,i10h9j9h11k10j10m12l11i11i8i9h10h12i13h8l9l10e12m10m9n10o10n9n11g10m11k11o11p11o12o9o14o13p9k13k12p13p12q12q8r7p8r8p7p6q13,1
9,i10h9j9h11k10j10i8l11h7g6h10i11g11l8k9i9g7k11j11,1
10,i10h9j9h11k10j10l11m12h10i8j7k8l8g10j13f11e12f9e8g9e9g11i11,1
11,i10h9j9h11k10j10h10l11i8i11j11h7l8i9m8l9k8j8m6l7o8n8n7p9k4l5k7k9m9j6,0
12,i10h9j9h11k10j10l11i8k6g10f11f9i12e8d7g9e9g8g7,1
13,i10h9j9h11k10j10m12l11h10j11k11i11k9k8k12k13m9l9j12l12,0
14,i10h9j9h11k10j10l11m12i11i8k8k6j7l7l9i6k9m9,0
15,i10h9j9h11k10j10i8h7i9i11h12i7l11m12g11k7j7k9h6l8m7j6i5m9n10h8h10,1
16,i10h9j9h11k10j10l11m12h10i8g10k8f10e10j8k7k6j6i9l8i5m9n10m7k9l7j7o7n7l9l6m8m10n8o8,1
17,i10h9j9h11k10j10h7i8j7g7i7h8i9h10h12j8g8f9l7k7k8m6i6l9j5k4h5g4i5g5i4i3,0
18,i10h9j9h11k10j10m12l11i11h10h8i12i8h12h13k12j12j13m10,1
19,i10h9j9h11k10j10h7i8g10j7l7l5k6j5h10e10m6k8i6j8l8h8g8j6j4k5i7,1
20,i10h9j9h11k10j10i8h7h8i7k7k8g7l11i11j8k9l9k11i9h10k13l10i13m10n8l8n10f8g9i5h6,0
21,i10h9j9h11k10j10h10l11g10j11f10e10k11k12k9k8i11j12j13i12h12i8g11e9i13j14g13h13,0
22,i10h9j9h11k10j10i8l11i9i7i12i11h12g11f11k11j11l9h13g14g12j12,0
23,i10h9j9h11k10j10h10l11g10i11g13j11k11k9l8f11g11g12e10f10g9f8f9g8i8j8f12e13d10e11i7h8h7g6i5k7i6,0
24,i10h9j9h11k10j10i8l11g6h7h10i9g7g9g10e9f9i11k11g11f11h12f10,1
25,i10h9j9h11k10j10i8h7i7i9h8g9k11k8k9f9e9g8e10g10g7,1
26,i10h9j9h11k10j10i8h7h8i7g8j8k7g7f7l11f8e8i11f9g10g9e9k9l10g5h6l8i12i9i13i14j12k11k13l14h13j11,0
27,i10h9j9h11k10j10m12l11i11h7i9i12k14i7h8j7k7g10f9,1
28,i10h9j9h11k10j10i8l11g6h7h6i6k8f9g8g10i12e8d7e9g9e11e10h12g11h10,1
29,i10h9j9h11k10j10l11m12i8h7h8i7l7k8g8f8k7m7k9g7f7m9h10k11i9j8m8l10n8i11o8p8n9m10,0
30,i10h9j9h11k10j10m12l11h10j11i11i12g10g9k11k14f10e10f9j13l15j12j14k12h12,1
31,i10h9j9h11k10j10h10i8j7k8i11j8l8i12g10g8h8j12m12g9f10e10f9f7k12f12l11n13k11k13m10j13j11m11o8n9l10l9l13m14o10n10,0
32,i10h9j9h11k10j10i8h7i11i9h8j8h10g8k7f9i6g9e9g10e8,1
33,i10h9j9h11k10j10l11i8g10m12h10e10g8k8g9g7i11j12g12g11e7f8i9e9d10e11e12f11d11f10f9,1
34,i10h9j9h11k10j10h10i11i8h7j11i9h8i12g10g8k9f9i6k12k8k7j8l8j7h5l9m10j6j5h6g6,0
35,i10h9j9h11k10j10m12l11i11i8g10i14h10i13f8g9f10e10l14k13j13i15i16f9e9g8h7d11c12j14h16m11l12k11n11h14g14,1
36,i10h9j9h11k10j10l11m12i11i8k8h10h12h8h7g8f8g10j7g7i9,1
37,i10h9j9h11k10j10h7i8h10k6j7k7k9g10l9m9i12j11i11i13k12k11j12h12,0
38,i10h9j9h11k10j10i8h7h10i11k11l8k9k12k8k7l11m12m6l7n11m11l9m10,0
39,i10h9j9h11k10j10i8l11g6h7h10i11g11l8k9l9l10j8k11k8n8m9k12k13m10j6k7n10j12i13j13h12j14j15i12g13f14h15h13f12i15l12i6l15m11i7,1
